fattura_id,riga_fattura,data_fattura,fornitore,codice_fornitore,codice_prodotto,descrizione_prodotto,categoria,quantita,unita_misura,prezzo_unitario,importo_totale,iva_pct,pagato,data_scadenza
50001,1,03/01/2023,Molino Pasta Artigianale,FORN-006,SKU-4926,Olio EVO,Condimenti,15.63,lt,8.6401,135.04,22,SI,02/02/2023
50001,2,03/01/2023,Molino Pasta Artigianale,FORN-006,SKU-3520,Sale 100/kg,Condimenti,9.408,Kg,,,22,SI,03/04/2023
50001,3,03-01-2023,Molino Pasta Artigianale,FORN-006,SKU-5876,Insalata mista,,2.359,KG,2.2757,5.37,10,NO,
50002,1,05/01/2023,Latteria Alpina Coop,FORN-005,SKU-7962,Olio EVO,Condimenti,5.49,l,8.2628,45.36,22,SI,04/02/2023
50002,2,05/01/2023,Latteria Alpina Coop,FORN-005,SKU-9212,Costata di manzo,Carni,6.016,kilo,32.5656,195.91,5,si,04/02/2023
50002,3,05/01/2023,Latteria Alpina Coop,FORN-005,SKU-2930,chianti 75cl,Vini,21.0,BT,6.0701,127.47,10,NO,05/04/2023
50002,4,05/01/2023,Latteria Alpina Coop,FORN-005,SKU-7223,Sale fino,Condimenti,25.411,kilo,0.4573,11.62,22,SI,06/03/2023
50002,5,05/01/2023,Latteria Alpina Coop,FORN-005,SKU-3749,Pasta tagliatelle,Secchi,23.482,KG,1.9833,46.57,10,NO,05/04/2023
50003,1,08/01/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-6187,Panna fresca,Latticini,2.98,0.75,2.0582,6.13,4,SI,07/02/2023
50003,2,08/01/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-7628,latte intero lt,Latticini,10.03,l,1.0371,10.4,4,SI,09/03/2023
50003,3,08-01-2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-1172,Porcini kg,Funghi,16.092,kg,43.6854,702.99,10,SI,07/02/2023
50003,4,08/01/2023,BIANCHI CARNI s.r.l.,FORN-001,SKU-7274,Filetto di manzo,Carni,5.352,g,38.0,203.38,22,SI,09/03/2023
50004,1,12/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-8544,Burr@ta,,265.0,pz,3.1727,840.77,4,SI,13/03/2023
50004,2,12/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-2846,Parmigiano 24m,Latticini,2.441,g,16.5,40.28,10,SI,12/04/2023
50004,3,12/01/2023,Ortofrutta Rossi e Figli,FORN-003,SKU-2940,Sale 100/kg,Condimenti,19.063,kilo,0.4432,8.45,22,SI,11/02/2023
